customer_code,70005163,,,,
,,,,,
Sum of sold_quantity,Column Labels,,,,
Row Labels,2019,2020,2021,2022,Grand Total
AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache,268,1036,711,360,2375
A0118150101,57,241,216,,514
A0118150102,63,268,169,,500
A0118150103,78,226,161,109,574
A0118150104,70,301,165,251,787
AQ Mforce Gen X,184,776,113,270,1343
A0418150101,58,217,,,275
A0418150102,51,299,,,350
A0418150103,51,260,113,270,694
A0418150104,24,,,,24
AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm,137,1147,548,1012,2844
A0219150201,70,342,179,437,1028
A0219150202,67,422,212,243,944
A0220150203,,383,157,332,872
AQ Zion Saga,,211,555,995,1761
A0320150301,,211,171,434,816
A0321150302,,,226,265,491
A0321150303,,,158,296,454
Grand Total,589,3170,1927,2637,8323
